date,scheme_code,scheme_name,provider,category,plan,option,nav,isin_growth,isin_reinvest
2025-10-29,SIF-12,Altiva Hybrid Long-Short Fund - Regular Plan - IDCW,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,IDCW,10.0206,INF754K30060,INF754K30078
2025-10-29,SIF-13,Magnum Hybrid Long Short Fund - Regular Plan - Growth,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,Growth,10.0336,INF200K30015,
2025-10-29,SIF-14,Magnum Hybrid Long Short Fund - Direct  Plan - Growth,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,Growth,10.0357,INF200K30049,
2025-10-29,SIF-15,Magnum Hybrid Long Short Fund - Direct Plan - Income Distribution Cum Capital Withdrawal,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,IDCW,10.0357,INF200K30056,INF200K30064
2025-10-29,SIF-16,Magnum Hybrid Long Short Fund - Regular Plan - Income Distribution Cum Capital Withdrawal,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,IDCW,10.0336,INF200K30023,INF200K30031
2025-10-29,SIF-2,qsif Equity Long Short Fund - IDCW Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,IDCW Option,10.1627,INF966L30035,INF966L30043
2025-10-29,SIF-3,qsif Equity Long Short Fund - Growth Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,Growth Option,10.1526,INF966L30027,
2025-10-29,SIF-4,qsif Equity Long Short Fund - IDCW Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,IDCW Option,10.1514,INF966L30050,INF966L30068
2025-10-29,SIF-5,qsif Hybrid Long-Short Fund - Growth Option - Direct Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,Growth Option,10.0834,INF966L30076,
2025-10-29,SIF-6,qsif Hybrid Long-Short Fund - IDCW Option - Direct Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,IDCW Option,10.0825,INF966L30092,INF966L30100
2025-10-29,SIF-7,qsif Hybrid Long-Short Fund - Growth Option - Regular Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,Growth Option,10.0765,INF966L30084,
2025-10-29,SIF-8,qsif Hybrid Long-Short Fund - IDCW Option - Regular Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,IDCW Option,10.0584,INF966L30118,INF966L30126
2025-10-29,SIF-9,Altiva Hybrid Long-Short Fund - Direct Plan - Growth,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,Growth,10.0233,INF754K30011,
2025-10-30,SIF-1,qsif Equity Long Short Fund - Growth Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,Growth Option,10.1532,INF966L30019,
2025-10-30,SIF-10,Altiva Hybrid Long-Short Fund - Direct Plan - IDCW,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,IDCW,10.0236,INF754K30029,INF754K30037
2025-10-30,SIF-11,Altiva Hybrid Long-Short Fund - Regular Plan - Growth,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,Growth,10.0206,INF754K30052,
2025-10-30,SIF-12,Altiva Hybrid Long-Short Fund - Regular Plan - IDCW,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,IDCW,10.0206,INF754K30060,INF754K30078
2025-10-30,SIF-13,Magnum Hybrid Long Short Fund - Regular Plan - Growth,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,Growth,10.0227,INF200K30015,
2025-10-30,SIF-14,Magnum Hybrid Long Short Fund - Direct  Plan - Growth,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,Growth,10.025,INF200K30049,
2025-10-30,SIF-15,Magnum Hybrid Long Short Fund - Direct Plan - Income Distribution Cum Capital Withdrawal,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,IDCW,10.025,INF200K30056,INF200K30064
2025-10-30,SIF-16,Magnum Hybrid Long Short Fund - Regular Plan - Income Distribution Cum Capital Withdrawal,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,IDCW,10.0227,INF200K30023,INF200K30031
2025-10-30,SIF-2,qsif Equity Long Short Fund - IDCW Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,IDCW Option,10.1534,INF966L30035,INF966L30043
2025-10-30,SIF-3,qsif Equity Long Short Fund - Growth Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,Growth Option,10.1428,INF966L30027,
2025-10-30,SIF-4,qsif Equity Long Short Fund - IDCW Option - Regular Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Regular,IDCW Option,10.1418,INF966L30050,INF966L30068
2025-10-30,SIF-5,qsif Hybrid Long-Short Fund - Growth Option - Direct Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,Growth Option,10.0802,INF966L30076,
2025-10-30,SIF-6,qsif Hybrid Long-Short Fund - IDCW Option - Direct Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,IDCW Option,10.0792,INF966L30092,INF966L30100
2025-10-30,SIF-7,qsif Hybrid Long-Short Fund - Growth Option - Regular Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,Growth Option,10.0722,INF966L30084,
2025-10-30,SIF-8,qsif Hybrid Long-Short Fund - IDCW Option - Regular Plan,qsif SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,IDCW Option,10.0548,INF966L30118,INF966L30126
2025-10-30,SIF-9,Altiva Hybrid Long-Short Fund - Direct Plan - Growth,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,Growth,10.0236,INF754K30011,
2025-10-31,SIF-1,qsif Equity Long Short Fund - Growth Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,Growth Option,10.1415,INF966L30019,
2025-10-31,SIF-10,Altiva Hybrid Long-Short Fund - Direct Plan - IDCW,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,IDCW,10.0188,INF754K30029,INF754K30037
2025-10-31,SIF-11,Altiva Hybrid Long-Short Fund - Regular Plan - Growth,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,Growth,10.0155,INF754K30052,
2025-10-31,SIF-12,Altiva Hybrid Long-Short Fund - Regular Plan - IDCW,Altiva SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,IDCW,10.0155,INF754K30060,INF754K30078
2025-10-31,SIF-13,Magnum Hybrid Long Short Fund - Regular Plan - Growth,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,Growth,9.9992,INF200K30015,
2025-10-31,SIF-14,Magnum Hybrid Long Short Fund - Direct  Plan - Growth,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,Growth,10.0017,INF200K30049,
2025-10-31,SIF-15,Magnum Hybrid Long Short Fund - Direct Plan - Income Distribution Cum Capital Withdrawal,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Direct,IDCW,10.0017,INF200K30056,INF200K30064
2025-10-31,SIF-16,Magnum Hybrid Long Short Fund - Regular Plan - Income Distribution Cum Capital Withdrawal,Magnum SIF,Interval Fund Schemes ( Hybrid Investment Strategies - Hybrid Long-Short Fund ),Regular,IDCW,9.9992,INF200K30023,INF200K30031
2025-10-31,SIF-2,qsif Equity Long Short Fund - IDCW Option - Direct Plan,qsif SIF,Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund ),Direct,IDCW Option,10.1417,INF966L30035,INF966L30043
