Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund )
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.28000000;04-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.32000000;05-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.34;06-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.31;07-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.32;10-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.32;11-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.32;12-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.33;13-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.32;14-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.43;17-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.50;18-Aug-2026
